Store_ID_S001,Store_ID_S002,Store_ID_S003,Product_ID_P001,Product_ID_P002,Product_ID_P003,Product_ID_P004,Product_ID_P005,Category_Clothing,Category_Electronics,Category_Food,Category_Home,Category_Toys,Sales,Inventory,Price,Promotion,Holiday,Temperature,Rainfall,Discount,Supplier_Lead_Time,Supplier_Reliability,Cost,Profit,Day,Week,Month,Quarter,Year,Day_of_Week,Is_Weekend,Is_Holiday,Festival_Flag,Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Mean_7,Rolling_Median_7,Rolling_Std_7,Rolling_Max_7,Rolling_Min_7,Average_Daily_Demand,Days_Until_Stockout,Safety_Stock,Discount_%,Price_Difference,Price_Lag_1,Elasticity,Date
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,90.0,193.52,0.0,0.0,17.7,0.8,0.0,12.0,0.76,151.0,977.96,1.0,52.0,1.0,1.0,2023.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,23.0,23.0,23.0,3.9130434782608696,0.0,0.0,42.52000000000001,0.0,0.0,2023-01-01
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,93.0,348.56,0.0,0.0,31.0,0.0,0.0,10.0,0.99,193.34,2638.74,2.0,1.0,1.0,1.0,2023.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,20.0,20.0,4.242640687119285,23.0,17.0,20.0,4.65,22.137072977247914,0.0,155.22,193.52,-0.3256158298559699,2023-01-02
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,109.0,472.51,0.0,0.0,26.1,7.2,0.0,12.0,0.82,367.47,2205.84,3.0,1.0,1.0,1.0,2023.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,20.333333333333332,21.0,3.0550504633038935,23.0,17.0,20.333333333333332,5.360655737704918,17.461958653026297,0.0,105.03999999999996,348.56,0.6616709773865174,2023-01-03
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,101.0,65.64,0.0,0.0,8.8,7.9,0.0,11.0,0.82,43.89,456.75,4.0,1.0,1.0,1.0,2023.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,20.5,21.0,2.516611478423583,23.0,17.0,20.5,4.926829268292683,13.771982428103804,0.0,21.75,472.51,-0.0,2023-01-04
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,117.0,78.49,0.0,0.0,23.9,0.0,0.0,9.0,0.9,56.36,486.86,5.0,1.0,1.0,1.0,2023.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,20.8,21.0,2.2803508501982757,23.0,17.0,20.8,5.625,11.287736708481464,0.0,22.129999999999995,65.64,0.2432462479155087,2023-01-05
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,119.0,370.59,0.0,0.0,16.9,8.8,0.0,11.0,0.78,273.96,2609.01,6.0,1.0,1.0,1.0,2023.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,21.833333333333332,21.5,3.250640962435972,27.0,17.0,21.833333333333332,5.450381679389313,17.788908060923802,0.0,96.63,78.49,0.06107030593507827,2023-01-06
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,146.0,18.76,0.0,0.0,9.3,5.4,0.0,9.0,0.92,14.92,53.76,7.0,1.0,1.0,1.0,2023.0,5.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,20.714285714285715,21.0,4.191828786034631,27.0,14.0,20.714285714285715,7.048275862068965,20.749552490871423,0.0,3.8400000000000016,370.59,0.5071546548680391,2023-01-07
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,91.0,431.46,0.0,1.0,15.0,0.7,0.0,4.0,0.8,307.17,3231.54,8.0,1.0,1.0,1.0,2023.0,6.0,1.0,0.0,0.0,14.0,23.0,0.0,0.0,21.142857142857142,21.0,4.59813626840888,27.0,14.0,21.142857142857142,4.304054054054054,15.173849685749303,0.0,124.28999999999996,18.76,0.038962927065665134,2023-01-08
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,106.0,341.49,0.0,0.0,12.3,3.5,0.0,9.0,0.73,166.06,3333.17,9.0,2.0,1.0,1.0,2023.0,0.0,0.0,0.0,0.0,26.0,17.0,0.0,0.0,21.428571428571427,21.0,4.353433237386436,27.0,14.0,21.428571428571427,4.946666666666667,21.549494525062855,0.0,175.43,431.46,1.2911226819196144,2023-01-09
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,96.0,265.27,0.0,0.0,27.6,2.7,0.0,4.0,0.79,172.28,2231.76,10.0,2.0,1.0,1.0,2023.0,1.0,0.0,0.0,0.0,19.0,21.0,0.0,0.0,21.857142857142858,22.0,4.450789122113493,27.0,14.0,21.857142857142858,4.3921568627450975,14.687604102974525,0.0,92.98999999999998,341.49,-1.179031612092419,2023-01-10
